platform,likes,comments,plays,caption,posted
tiktok,719160,1050,3981473,He’s got your back #fyp #workout #dad #pov,1620580019
tiktok,522400,1994,9209229,thank me later fr ,1697230941
tiktok,225500,1599,4118382,French Vanilla Coffee Protein Shake Recipe makes 1 serving 285 calories 51g prot,1785092434
tiktok,179683,352,3165345,Steaming protein powder into a latte ,1773514744
tiktok,167653,636,2815715,3 Ingredient Protein Cookies Ingredients * 1 spotty banana * 1/2 cup peanut butt,1782934053
tiktok,160521,624,3108173,"3 ingredient protein cookies🍪🍪🍪 Made with banana, tahini and protein powder  Gra",1776003296
tiktok,145136,827,1787750,Does 100% protein exist? What does it look like? #lowcalorie #proteinpowder,1776942786
tiktok,140764,945,2472896,👉 Follow me for fitness done right Most people think recovery starts hours after,1784863523
tiktok,139284,969,1878158,What protein powder do you use? - Details in my profile for my 1-on-1 online fit,1751204270
tiktok,93194,717,2240139,Most people don’t struggle because they don’t know they need more protein. They ,1784527366
tiktok,83864,589,1999445,my go tos #gutfriendly #proteinpowder ,1705958169
tiktok,62240,1225,1637318,Protein Powder Review Part 3⁣ ⁣⁣⁣ Rating the best protein powders 1-10 based on:,1731533214
tiktok,60785,625,620744,i’m not even bulking 😭🙏 i’m on a cut 🫩 - Protein Powder from @Per4m Better !! #o,1788001106
tiktok,55575,753,2050023,Protein Powder Review Part 1⁣ ⁣ Ratings as they relate to protein powders and ba,1729279199
tiktok,53156,254,1651924,Best Protein Powders From Walmart #weightloss #fatloss #walmart #protein #Fitnes,1634052745
tiktok,50276,477,294764,Dm to get yoursss❤️ #proteinpowder #weightgain,1789232329
tiktok,49308,134,1000974,"If you lift weights, drinking a calorically appropriate protein shake will make ",1766714350
tiktok,40841,431,1304693,These are the 5 greatest PROTEIN POWDERS of all time #lowcalorie #protein #list ,1753387619
tiktok,38867,286,431055,you rlly only need 5 ingredients no eggs no yogurt just a lil cooking - 30g regu,1787754805
tiktok,34307,237,339239,#letsgoletsgetjacked @ekkovision code “Striker” @PumpedDucks (my company) shirts,1768543819
xiaohongshu,48588,49,,不建议女生练的太好 因为会失去忧郁的机会,1788515872
xiaohongshu,25988,311,,到底是良心发现还是为了下一桶免费的蛋白粉,1776952810
xiaohongshu,9756,90,,07 老板的妈妈约见我？,1788864762
xiaohongshu,1718,15,,深扒｜精力低迷根源竟是蛋白质摄入不足！,1787046766
xiaohongshu,1520,145,,蛋白质应该吃多少？怎么吃才对？一次性跟大家讲清楚！#蛋白质的重要性 #健康饮食 #薄肌 #好物分享 #fiboo纯净蛋白,1786587481
xiaohongshu,1503,48,,靠它就能爆改高能量大女主吗？！,1787021036
xiaohongshu,1316,84,,长期主义女生养生小tips。。,1785914499
xiaohongshu,1207,44,,好喝的蛋白粉真存在吗？嘴巴挑的人有话说,1786688754
xiaohongshu,1148,48,,井迪的有劲我悟了！！！,1785754222
xiaohongshu,1099,71,,我连我妈都安利了……,1789026838
xiaohongshu,1051,8,,母亲节就靠这盒蛋白粉硬控我妈!,1777550331
xiaohongshu,1025,59,,记录下爸妈喝蛋白粉的变化,1788843173
xiaohongshu,1012,44,,分享一个美女邪修。。。,1787560357
xiaohongshu,965,22,,用“魔法”打败“魔法”，这次选它对了！,1774603029
xiaohongshu,872,4,,终于找到了一款口感这么舒服的蛋白粉,1789038062
xiaohongshu,869,28,,补蛋白一个月 皮肤状态好了是怎么回事,1785812531
xiaohongshu,821,31,,第一次感受到内调的震撼！,1780628479
xiaohongshu,795,23,,爸妈常喝的蛋白粉出中秋礼盒了，送礼超有面,1788344573
xiaohongshu,788,137,,长辈总犯困没力气？多半是蛋白补得不够,1782625804
xiaohongshu,776,10,,容易累并非天生低能量！补蛋白认准这三点,1782295261
