row,followers_discovery,engagement_pct_discovery,followers_profile,private,category,posts_sampled,likes_sampled,comments_sampled
1,233157,3.64,244998,False,Digital creator,12,107016,120
2,75112,29.22,80554,False,,0,0,0
3,73168,9.58,75614,False,,12,104013,787
4,77048,4.13,79303,False,Coach,12,29528,425
5,273926,3.09,270075,False,Public figure,12,618525,843
6,96108,4.68,96799,False,Personal Coach,12,52026,409
7,86985,29.25,87681,False,,0,0,0
8,94963,3.76,96600,False,Personal blog,12,44057,652
9,259955,3.13,258701,False,Reel creator,12,322993,3086
10,53146,9.06,56250,False,Digital creator,12,68926,1473
11,316601,3.17,314713,False,,12,119158,2061
12,192099,29.78,189474,False,Entrepreneur,0,0,0
13,159101,30.08,182045,False,Reel creator,12,1203423,6309
14,121958,8.24,125310,False,,12,250972,685
15,412256,3.05,402202,False,,12,291545,2070
16,50142,18.61,49333,False,Fitness Model,12,92421,451
17,125410,29.46,130966,False,,0,0,0
18,98584,3.96,100719,False,Actor,12,41871,1744
19,407532,3.43,449792,False,,12,238176,3235
20,94163,3.4,95148,False,,0,0,0
21,79795,9.87,91922,False,Digital creator,12,944340,6346
22,249202,4.96,246339,False,,12,297883,1599
23,107673,5.39,107669,False,,12,14725,167
24,160134,3.86,170290,False,Public figure,12,28062,3680
25,400236,29.32,393430,False,Blogger,0,0,0
