keyword,monthly_volume,cpc_usd,competition,q4_vs_rest_pct,suggested_spend_pct
protein powder,368000,1.7,HIGH,-29,49.5
protein powder for muscle gain,110000,1.54,LOW,-12,14.8
protein foods,74000,0.24,HIGH,-2,10.0
protein powder for weight loss,40500,1.71,HIGH,-9,5.5
protein example,33100,0.16,LOW,52,4.5
best protein powder for weight loss,22200,1.72,HIGH,-42,3.0
protein powder walmart,18100,0.19,HIGH,-32,2.4
protein powder for weight gain,12100,1.07,HIGH,-8,1.6
protein powder near me,8100,0.66,HIGH,-25,1.1
top 10 protein foods,8100,0.34,HIGH,11,1.1
best protein powder for weight loss female,6600,1.8,HIGH,-35,0.9
protein biology,5400,2.79,LOW,24,0.7
protein powder amazon,4400,1.34,HIGH,-13,0.6
ghost protein bar,4400,0.52,HIGH,16,0.6
protein powder for weight loss recipes,3600,0.74,HIGH,-21,0.5
best protein powder for weight gain,2900,1.48,HIGH,-22,0.4
whey protein powder for weight gain,2400,1.16,HIGH,33,0.3
protein powder for weight loss female,2400,1.94,HIGH,-20,0.3
best protein powder walmart,1900,0.41,HIGH,-43,0.3
protein whey,1900,1.74,HIGH,-8,0.3
protein powder whey,1600,1.24,HIGH,-20,0.2
whey protein powder walmart,1600,0.14,HIGH,-34,0.2
protein in the body,1600,2,MEDIUM,15,0.2
protein powder for muscle gain and weight loss,1300,1.69,MEDIUM,-47,0.2
protein name,1000,2.51,LOW,33,0.1
protein powder for weight gain for females,880,0.98,HIGH,-5,0.1
protein powder ghost,720,0.68,HIGH,-5,0.1
best protein powder amazon,720,1.78,HIGH,-34,0.1
best protein powder for weight loss male,590,1.67,HIGH,-15,0.1
whey protein powder amazon,590,1.62,HIGH,-13,0.1
best protein powder for muscle gain for beginners,390,1.37,HIGH,43,0.1
whey protein powder near me,390,0.59,HIGH,-9,0.1
best protein powder at walmart for weight loss,260,0.79,HIGH,-44,0.0
ghost protein review,260,1.04,HIGH,-32,0.0
how to use protein powder for weight loss female,170,2.59,HIGH,-10,0.0
ghost vanilla protein powder,140,0.77,HIGH,-57,0.0
protein powder for weight loss amazon,90,1.35,HIGH,-10,0.0
protein powder for weight gain male,90,0.98,HIGH,11,0.0
premier protein powder amazon,90,1.21,HIGH,-39,0.0
protein powder walmart nearby,70,0.09,HIGH,-40,0.0
best protein powder near me,70,0.86,HIGH,-54,0.0
protein powder walmart vanilla,50,0.34,HIGH,-58,0.0
ghost cinnabon protein review,50,0.6,MEDIUM,-41,0.0
best protein powder for muscle gain without side effects,40,1.21,HIGH,78,0.0
amazon protein powder for weight loss,40,2.83,HIGH,-27,0.0
protein powder on sale amazon,30,1.96,HIGH,-100,0.0
protein powder for weight loss how to use,10,0.37,HIGH,-25,0.0
protein powder for weight gain vanilla,10,0.29,HIGH,-18,0.0
protein powder for weight gain ingredients,10,,HIGH,-100,0.0
protein powder for weight gain price,10,,HIGH,-40,0.0
